Codigo,Nombre,Descripcion,Precio,Stock,Categoria
FIL-001,FILTRO DE ACEITE,FILTRO SINTETICO PREMIUM ,150,50,General
OF-TY4967,FILTRO DE ACEITE,FILTRO ACEITE CHEVROLET MATIZ 2003-2009 TOYOTA COROLLA 2003-2008 YARIS 2003-2010 TOYOTA TRUCK RAV4 1996-2007 AVANZA 2007-2010 =OF-4967 =GP157 =PH4967 ,55,20,General
2709001-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. MALIBU 04-07,544,5,General
2709002-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. DER. MALIBU 04-12 PONTIAC G6 08-12,1263,5,General
2709003-S,AMORTIGUADOR DEL,AMORTIGUADOR DEL. IZQ. MALIBU 04-12 PONTIAC G6 08-12,1263,5,General
2709015-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. OPTRA 07-11 FORENZA 05-08,1305,5,General
2709016-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. DER. OPTRA 07-11 FORENZA 05-08,1305,5,General
2709031-S,AMORTIGUADOR DEL.,AMORTIGUADOR DEL. IZQ. AVEO 06-17 PONTIAC G3 06-11,841,5,General
2709032-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. DER. AVEO 06-17 PONTIAC G3 06-11,841,5,General
2709033-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. AVEO 06-17 PONTIAC G3 06-11,467,5,General
2709037-S,AMORTIGUADOR DEL. IZQ.,AMORTIGUADOR DEL. IZQ. MATIZ 06-15,794,5,General
2709038-S,AMORTIGUADOR DEL. ,AMORTIGUADOR DEL. DER. MATIZ 06-15,794,5,General
2709039-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. MATIZ 06-15,519,5,General
2709040-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. DER. OPTRA 07-11 FORENZA 05-08,1062,5,General
2709041-S,AMORTIGUADOR TRAS. ,AMORTIGUADOR TRAS. IZQ. OPTRA 07-11 FORENZA 05-08,1062,5,General
